Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
75-79 ani, Total, Neamt, 122613 FAUREI, Anul 2026, Numar persoane, 83
75-79 ani, Total, Neamt, 125150 GADINTI, Anul 2026, Numar persoane, 69
75-79 ani, Total, Neamt, 122828 GARCINA, Anul 2026, Numar persoane, 132
75-79 ani, Total, Neamt, 122668 GHERAESTI, Anul 2026, Numar persoane, 176
75-79 ani, Total, Neamt, 125114 GHINDAOANI, Anul 2026, Numar persoane, 106
75-79 ani, Total, Neamt, 122702 GIROV, Anul 2026, Numar persoane, 207
75-79 ani, Total, Neamt, 122864 GRINTIES, Anul 2026, Numar persoane, 103
75-79 ani, Total, Neamt, 122908 GRUMAZESTI, Anul 2026, Numar persoane, 202
75-79 ani, Total, Neamt, 122953 HANGU, Anul 2026, Numar persoane, 140
75-79 ani, Total, Neamt, 120922 HORIA, Anul 2026, Numar persoane, 276
75-79 ani, Total, Neamt, 123013 ICUSESTI, Anul 2026, Numar persoane, 169
75-79 ani, Total, Neamt, 123102 ION CREANGA, Anul 2026, Numar persoane, 184
75-79 ani, Total, Neamt, 123175 MARGINENI, Anul 2026, Numar persoane, 161
75-79 ani, Total, Neamt, 123228 MOLDOVENI, Anul 2026, Numar persoane, 91
75-79 ani, Total, Neamt, 125169 NEGRESTI, Anul 2026, Numar persoane, 72
75-79 ani, Total, Neamt, 123255 ONICENI, Anul 2026, Numar persoane, 77
75-79 ani, Total, Neamt, 125141 PANCESTI, Anul 2026, Numar persoane, 53
75-79 ani, Total, Neamt, 123601 PANGARATI, Anul 2026, Numar persoane, 180
75-79 ani, Total, Neamt, 123371 PASTRAVENI, Anul 2026, Numar persoane, 132
75-79 ani, Total, Neamt, 123424 PETRICANI, Anul 2026, Numar persoane, 186
75-79 ani, Total, Neamt, 123479 PIATRA SOIMULUI, Anul 2026, Numar persoane, 260
75-79 ani, Total, Neamt, 123521 PIPIRIG, Anul 2026, Numar persoane, 260
75-79 ani, Total, Neamt, 123674 PODOLENI, Anul 2026, Numar persoane, 217
75-79 ani, Total, Neamt, 123790 POIANA TEIULUI, Anul 2026, Numar persoane, 194
75-79 ani, Total, Neamt, 123709 POIENARI, Anul 2026, Numar persoane, 63
75-79 ani, Total, Neamt, 123914 RAUCESTI, Anul 2026, Numar persoane, 259
75-79 ani, Total, Neamt, 123969 RAZBOIENI, Anul 2026, Numar persoane, 81
75-79 ani, Total, Neamt, 124028 REDIU, Anul 2026, Numar persoane, 209
75-79 ani, Total, Neamt, 124073 ROMANI, Anul 2026, Numar persoane, 172
75-79 ani, Total, Neamt, 125105 RUGINOASA, Anul 2026, Numar persoane, 97
75-79 ani, Total, Neamt, 124206 SABAOANI, Anul 2026, Numar persoane, 269
75-79 ani, Total, Neamt, 124153 SAGNA, Anul 2026, Numar persoane, 152
75-79 ani, Total, Neamt, 120824 SAVINESTI, Anul 2026, Numar persoane, 224
75-79 ani, Total, Neamt, 124233 SECUIENI, Anul 2026, Numar persoane, 118
75-79 ani, Total, Neamt, 124331 STANITA, Anul 2026, Numar persoane, 66
75-79 ani, Total, Neamt, 124411 STEFAN CEL MARE, Anul 2026, Numar persoane, 118
