Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Cabinete stomatologice, Proprietate privata, Mehedinti, 110116 ORAS STREHAIA, Anul 2024, Numar, 8
Cabinete stomatologice, Proprietate privata, Mehedinti, 110232 ORAS VANJU MARE, Anul 2024, Numar, 3
Cabinete stomatologice, Proprietate privata, Mehedinti, 110571 BACLES, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Mehedinti, 110296 BALA, Anul 2024, Numar, 2
Cabinete stomatologice, Proprietate privata, Mehedinti, 110535 BALACITA, Anul 2024, Numar, 2
Cabinete stomatologice, Proprietate privata, Mehedinti, 110456 BALTA, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Mehedinti, 111275 CORCOVA, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Mehedinti, 111444 CUJMIR, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Mehedinti, 111685 FLORESTI, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Mehedinti, 111783 GARLA MARE, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Mehedinti, 111863 GOGOSU, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Mehedinti, 112030 GRUIA, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Mehedinti, 112548 JIANA, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Mehedinti, 112664 MALOVAT, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Mehedinti, 112879 PATULELE, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Mehedinti, 113466 ROGOVA, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Mehedinti, 113493 SALCIA, Anul 2024, Numar, 1
Cabinete stomatologice, Proprietate privata, Mehedinti, 109826 SIMIAN, Anul 2024, Numar, 0
Cabinete medicale de specialitate, Proprietate publica, Mehedinti, 109773 MUNICIPIUL DROBETA-TURNU SEVERIN, Anul 2024, Numar, 0
Cabinete medicale de specialitate, Proprietate publica, Mehedinti, 110063 MUNICIPIUL ORSOVA, Anul 2024, Numar, 0
Cabinete medicale de specialitate, Proprietate publica, Mehedinti, 110116 ORAS STREHAIA, Anul 2024, Numar, 0
Cabinete medicale de specialitate, Proprietate publica, Mehedinti, 110232 ORAS VANJU MARE, Anul 2024, Numar, 0
Cabinete medicale de specialitate, Proprietate publica, Mehedinti, 110296 BALA, Anul 2024, Numar, 0
Cabinete medicale de specialitate, Proprietate publica, Mehedinti, 111444 CUJMIR, Anul 2024, Numar, 0
Cabinete medicale de specialitate, Proprietate privata, Mehedinti, 109773 MUNICIPIUL DROBETA-TURNU SEVERIN, Anul 2024, Numar, 250
Cabinete medicale de specialitate, Proprietate privata, Mehedinti, 110063 MUNICIPIUL ORSOVA, Anul 2024, Numar, 7
Cabinete medicale de specialitate, Proprietate privata, Mehedinti, 110116 ORAS STREHAIA, Anul 2024, Numar, 2
Cabinete medicale de specialitate, Proprietate privata, Mehedinti, 110232 ORAS VANJU MARE, Anul 2024, Numar, 9
Cabinete medicale de specialitate, Proprietate privata, Mehedinti, 110296 BALA, Anul 2024, Numar, 1
Cabinete medicale de specialitate, Proprietate privata, Mehedinti, 111444 CUJMIR, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Mehedinti, 109773 MUNICIPIUL DROBETA-TURNU SEVERIN, Anul 2024, Numar, 2
Farmacii, Proprietate publica, Mehedinti, 110063 MUNICIPIUL ORSOVA, Anul 2024, Numar, 1
Farmacii, Proprietate publica, Mehedinti, 109924 ORAS BAIA DE ARAMA, Anul 2024, Numar, 1
Farmacii, Proprietate publica, Mehedinti, 110116 ORAS STREHAIA, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Mehedinti, 110232 ORAS VANJU MARE, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Mehedinti, 110571 BACLES, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Mehedinti, 110296 BALA, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Mehedinti, 110535 BALACITA, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Mehedinti, 110740 BREZNITA-MOTRU, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Mehedinti, 110875 BROSTENI, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Mehedinti, 111006 BUTOIESTI, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Mehedinti, 111097 CAZANESTI, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Mehedinti, 111275 CORCOVA, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Mehedinti, 111444 CUJMIR, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Mehedinti, 111550 DARVARI, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Mehedinti, 111480 DEVESEL, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Mehedinti, 112245 ESELNITA, Anul 2024, Numar, 0
Farmacii, Proprietate publica, Mehedinti, 111685 FLORESTI, Anul 2024, Numar, 0
